MQ8,MQ5,Caption,image_path_uuid,Gas
632,418,"Thermal image shows a wall with a door. The door and surrounding wall areas exhibit temperature variations between 28°C and 31°C, with cooler areas depicted in blue and warmer areas in red/yellow.  The image quality is somewhat obscured.",5cb1edca7cc74a88accb1b14416acb73.png,NoGas
567,392,"Thermal image shows a mostly uniform temperature surface, predominantly green, indicating a temperature range between 29-30°C.  A few warmer spots (yellow/orange) are visible. Location is unavailable.",968e732e317743199e527c2552eed0c3.png,Perfume
562,393,"Thermal image shows a mostly uniform temperature range of 85-88°F.  Slight variations in color suggest minor temperature differences across the area, captured at 18°32'18""N 73°43'32""E.",1ce9142c26c24c51a0dfcdb4b9b50810.png,Perfume
352,441,"The thermal image shows a mostly uniform temperature field between 71°F and 72°F, with slight variations indicated by color differences.  No significant hot or cold spots are apparent.",c4c3e61df66645109f17e1484a37b0d9.png,Mixture
603,412,"Thermal image shows a temperature range from 17°C to 36°C.  The warmest areas are reddish, indicating higher temperatures, possibly a hand and a section of warmer gas. Cooler areas are depicted in blues and greens.  Location is unavailable.",9c65bdff9add4c52a24a5228719272f8.png,Perfume
503,496,"Thermal image shows a vertical, cooler (blue) anomaly against a warmer (green/yellow) background.  Temperature range is 69-72°F.  The anomaly suggests a possible leak or heat loss.",f38609507b604e12bb4bf14d3fbf4164.png,Mixture
360,454,"Thermal image shows a mostly uniform temperature field, predominantly yellow-green, indicating a relatively consistent temperature across the area.  Minor variations in color suggest slight temperature differences, but no significant hot or cold spots are evident.  The temperature range is approximately 72-73°F.",f91c4047873a47078d81dcd45fb3d9a1.png,Mixture
561,331,"Thermal image shows a mostly uniform temperature range of 89-92°F.  The location is 18°32'18""N 73°43'32""E.  No significant temperature variations are visible.",3e7b087ac7ad49cd845bb182b6cf24f3.png,Smoke
288,402,"The thermal image shows a mostly uniform temperature field, predominantly in the green range (around 72°F), indicating a consistent temperature across the area.  Minor variations in color suggest subtle temperature differences.",d1fb818b335e4f1cabaebfd6fea45440.png,Mixture
606,305,"Thermal image shows a predominantly green area, indicating relatively uniform temperature.  A small, warmer (yellow/orange) section is visible at the right. Temperature range is 89-92°F.  Coordinates: 18°32'18""N, 73°43'32""E.",d0079b94777449b488055c82d8e509c1.png,Smoke
258,359,The thermal image shows a mostly uniform temperature range between 73°F and 77°F.  Slight variations in color suggest minor temperature differences across the area.  No significant hot or cold spots are apparent.,504d6010dc84405ca0a5b1ac01bef24d.png,Mixture
675,445,"Thermal image shows a mostly green scene with a small, horizontally oriented, warmer (yellow-orange) area, indicating a localized heat source.  Temperature range is 27-28°C.  Location is unavailable.",4a71373c47ce4ad7a79b0b443dea471d.png,NoGas
579,399,"Thermal image shows a localized hot spot (red/yellow) at the bottom, ranging from 28-32°C.  The rest of the image is significantly cooler (dark blue). Location is unavailable.",5f5cf42b2e9b48bd8ffc46f198e5c6a5.png,NoGas
371,456,"The thermal image shows a mostly uniform temperature field, predominantly green and yellow, indicating a relatively consistent temperature across the scene.  Minor variations suggest slight temperature differences but no significant hot or cold spots are apparent.  The temperature range is approximately 44-72°F.",992cff7c89e1488cbff64d0c195a4f6d.png,Mixture
709,454,"Thermal image shows various components, some exhibiting warmer temperatures (red/orange) than others (blue/green).  Temperature range is approximately 25-34°C.  Location is unknown.",1fadd3dc3881404cbc2c59205e7d51f2.png,Perfume
724,485,"Thermal image shows a hot, narrow, vertical plume (likely gas) rising from a cooler background.  Temperature range is 31-54°C.  Location unknown.",594915824cdc4e688449b3e16e3b7024.png,Perfume
529,377,"Thermal image shows a gas plume rising from a lower, hotter area (red/orange) to a cooler upper area (blue).  Temperature gradient is visible, ranging from approximately 30°C to 39°C. Location is unavailable.",79a80b1ca7554c9384b8992a86879e36.png,Perfume
407,469,"The thermal image shows a mostly uniform temperature field, ranging from yellow to orange, suggesting relatively consistent heat distribution.  A slightly cooler, greener area is visible down the center.  Temperature scale shows 42°F to 72°F.",edb97f2bccdf40c2a06433f6fa0dec6a.png,Mixture
365,452,"The thermal image shows a mostly uniform temperature field, predominantly yellow-green, indicating a relatively consistent temperature range between 64°F and 72°F.  Minor variations in color suggest slight temperature differences across the area.",7fb0acda0b144ab19fe31f5f435a66d7.png,Mixture
551,330,"Thermal image shows a mostly uniform temperature range between 89-91°F.  Slight temperature variations are visible, but no distinct hot or cold spots are present.  Location coordinates are provided.",c446f900f56b4bf4bfa8cb4280c1f5a1.png,Smoke
624,411,"Thermal image shows a mostly homogenous area with temperatures between 27-28°C.  A slightly warmer area is visible, indicating potential heat source or variation in material. Location is unavailable.",ff98ed3ab8cf473a822984812a2fe57b.png,NoGas
248,374,"The thermal image shows a mostly uniform temperature distribution, ranging from 47°F to 72°F.  The colors suggest minimal temperature variation across the scene.  The location is unavailable.",83973bae566a4269b8c25db376182bbb.png,Mixture
569,398,"Thermal image shows mostly green, indicating consistent temperature. A small, horizontally oriented, orange/yellow area suggests a localized temperature increase, possibly due to heat source or gas leak.  Temperature range is 27-28°C.",e1778094d6124a51a5d1628e2a44ffa8.png,NoGas
327,433,"The thermal image shows a temperature range from 70°F to 71°F.  The majority of the image is green, indicating relatively consistent temperature, with slight variations shown in yellow and blue hues.  The lack of significant temperature differences suggests a uniform heat source or environment.",24ca2a20aeed41579ed5b2a33c08ba73.png,Mixture
643,422,Thermal image shows a region of elevated temperature (red/orange) against a cooler background (blue).  Temperatures range from 27°C to 33°C. Location is unavailable.,2a41cc8de1344b428185a0dd1bb2510e.png,NoGas
577,405,"Thermal image shows a dark, cool area (likely gas) against a warmer background.  Temperatures range from 28-37°C. The gas appears to be escaping from a point source.  Location is unavailable.",68af3f37208e4d0a925a046cba497423.png,Perfume
570,388,"Thermal image shows mostly uniform temperature (88-91°F) with a small area of slightly higher temperature in the bottom right corner.  Coordinates are 18°32'18""N 73°43'32""E.",a50056ebd52d4eeb88e9e1d712eb2e83.png,Smoke
569,365,"Thermal image shows a predominantly uniform temperature of approximately 89°F.  A slightly cooler area is visible in the lower right. Location: 18°32'18""N, 73°43'32""E.",6045dff63b82465893abc8f57f27f230.png,Smoke
