id,difficulty,code
696,easy,"Iterate through the binary string s. Keep track of the count of consecutive equal characters (curr) and the count of consecutive equal characters in the previous group (prev). When we encounter a character different from the previous one, add the minimum of prev and curr to the result. Update prev to the value of curr and reset curr to 1. After the iteration, add the minimum of prev and curr to the result and return the result. This will count all valid binary substrings with consecutive groups of 0's and 1's."
505,medium,"We can use a BFS (Breadth-First Search) algorithm to explore the maze, counting the distance travelled in each direction. When visiting an empty space, we can continue moving in each direction until hitting a wall. Once the wall is hit, we store the distance travelled and visit the new position.
We keep track of visited positions and their distances, updating them if a shorter path is found. Use a queue to hold positions to visit next, and continue the process until the queue is empty.
Finally, return the distance stored at the destination. If the destination hasn't been reached, return -1."
1203,hard,"The class `Foo` in each language implementation is designed to ensure the proper execution order of its `first()`, `second()`, and `third()` methods, regardless of the order of their calls. This is achieved by using synchronization mechanisms like `std::mutex` and `std::condition_variable` in C++, `AtomicInteger` and `synchronized` block in Java, `Condition` object in Python, and `Promise` and `Map` objects in JavaScript. 
For each language implementation, we keep track of the current order of execution using an integer variable, initially set to 1. The `first()` function executes the `printFirst()` with the current order and updates the order to 2, notifying the other functions waiting on the condition variable. The `second()` function waits for the order to become 2. Once the `first()` function updates the order, the `second()` function proceeds to execute `printSecond()`, and then updates the order to 3, notifying the remaining functions. Finally, the `third()` function waits for the order to become 3, then, upon receiving the update, executes `printThird()`.
This ensures that the methods are executed in the correct order, regardless of their initial calls order or the threads scheduling."
1064,easy,"The algorithm uses binary search to efficiently find the fixed point in the sorted array of distinct integers. Since the array is sorted, when `arr[middle] < middle`, we can conclude that a fixed point (if exists) must be at `middle` or at the right side of `middle`, so we set `left` to `middle + 1`. In other cases, when `arr[middle] >= middle`, we set `right` to `middle`. This process continues until `left` < `right` is no longer true. 
After exiting the loop, we check if `arr[left]` is equal to `left`. If yes, we return `left` as the fixed point index, otherwise we return `-1`, as no fixed point exists.
The time complexity of the algorithm is O(log n), as we divide the search interval by half at each step."
346,easy,"The algorithm uses a queue to maintain a sliding window of the last `size` values of the stream. When a new value is added, the algorithm checks the size of the queue. If it equals `size`, the oldest value is removed from the front of the queue by updating the sum and popping it. Then, the new value is added to the back of the queue, and the sum is updated. The average is returned by dividing the sum by the number of values currently in the queue. The time complexity of the `next` function is O(1)."
635,medium,"The algorithm creates a data structure `logs` to store logs, and two helper data structures for handling the logic of granularities: `time_granularity` maps granularity names to indexes and `size_map` maps the indexes to the length of the timestamps according to the given granularity. These two data structures are used to compute the substring size needed in the `retrieve` function.
The `put` function simply adds a log entry to the `logs` structure.
The `retrieve` function iterates through the `logs` structure and checks if the portion of the timestamp that corresponds to the given granularity falls within the specified range. If yes, it adds the corresponding ID to the result list."
2272,hard,"We iterate through each person, then we iterate through each statement made by other people about that person. If there are no contradicting statements (someone claims the person is good but the person claims that someone is not good), we consider the person to be good and increment the count. Finally, we return the total count of good people."
1,easy,"The algorithm leverages a hash map (unordered_map in C++, HashMap in Java, dictionary in Python, and Map in JavaScript). It iterates through the given 'nums' array and calculates the complementary value (target - current value). If the complementary value is already in the hash map, it means that we found a solution, and we return those indices. If the complement is not in the hash map, we store the current element in the hash map with its index. If the algorithm doesn't find the solution, it returns an empty array or throws an exception (in Java).
This approach has a time complexity of O(n) and a space complexity of O(n) as well."
1012,hard,"The given algorithm proceeds in the following steps:
1. Use a lambda function (or a separate function in Java) named 'eval' or 'evaluate' which takes a string representing a rational number as input.
2. Check if the input string has the repeating part (by finding the index of the opening bracket `(`).
3. If the input string has a repeating part, extract the base and repeating part separately. Then append the repeating part 20 times to the base part, and convert the resulting string into a floating-point number. Else, convert the input string into a floating-point number directly.
4. Call the 'eval' or 'evaluate' function for both input strings `s` and `t`, and calculate the absolute difference between the two numbers.
5. Check if the absolute difference is less than 1e-12, and if so, return true; else, return false.
The algorithm thus compares the given rational numbers by converting them into floating-point numbers and checking if they have the same numerical value within a very small margin of error (1e-12). This technique ensures that small differences in the way the numbers are represented do not affect the comparison result."
1579,hard,"The algorithm first initializes one union-find data structure for Alice (ufA) and another for Bob (ufB). 
In the first loop, the algorithm goes through all the edges and unites the endpoints of type 3 edges using both Alice's and Bob's union-find data structures. This is because type 3 edges can be traversed by both Alice and Bob. The number of type 3 edges united is counted as `common_edges`.
In the second loop, the algorithm goes through all the edges again, this time trying to unite the endpoints using the respective union-find data structure for type 1 and type 2 edges. If an edge cannot be united (because the two endpoints already belong to the same connected component), it means that this edge can be removed, so the count of `removed_edges` is incremented.
Finally, the algorithm checks if both Alice's and Bob's graphs are fully traversable by verifying that the number of connected components in each union-find data structure is 2 (the initial connected component and the fully connected graph). If they are, the algorithm returns the count of removed edges minus the count of common edges (this subtraction is done because common_edges shouldn't be counted twice); otherwise, it returns -1, indicating that the graph cannot be fully traversed by both Alice and Bob."
